,continent,date,new_vaccinations
654,Africa,2021-11-22,473992.0
655,Africa,2021-11-23,689589.0
656,Africa,2021-11-24,939910.0
657,Africa,2021-11-25,997145.0
658,Africa,2021-11-26,710759.0
659,Africa,2021-11-27,565807.0
660,Africa,2021-11-28,341322.0
661,Africa,2021-11-29,1210584.0
662,Africa,2021-11-30,814133.0
663,Africa,2021-12-01,489281.0
664,Africa,2021-12-02,627070.0
665,Africa,2021-12-03,1412236.0
666,Africa,2021-12-04,170051.0
667,Africa,2021-12-05,151738.0
668,Africa,2021-12-06,367457.0
669,Africa,2021-12-07,449407.0
670,Africa,2021-12-08,443587.0
671,Africa,2021-12-09,251699.0
672,Africa,2021-12-10,237539.0
673,Africa,2021-12-11,145871.0
674,Africa,2021-12-12,124259.0
675,Africa,2021-12-13,213672.0
676,Africa,2021-12-14,244857.0
677,Africa,2021-12-15,237695.0
678,Africa,2021-12-16,254903.0
679,Africa,2021-12-17,160835.0
680,Africa,2021-12-18,108334.0
681,Africa,2021-12-19,90370.0
682,Africa,2021-12-20,114622.0
683,Africa,2021-12-21,120318.0
684,Africa,2021-12-22,74999.0
685,Africa,2021-12-23,167450.0
686,Africa,2021-12-24,166248.0
687,Africa,2021-12-25,100836.0
688,Africa,2021-12-26,90223.0
689,Africa,2021-12-27,109531.0
690,Africa,2021-12-28,273313.0
691,Africa,2021-12-29,358164.0
692,Africa,2021-12-30,259668.0
693,Africa,2021-12-31,659565.0
694,Africa,2022-01-01,451956.0
695,Africa,2022-01-02,82628.0
696,Africa,2022-01-03,231271.0
697,Africa,2022-01-04,304369.0
698,Africa,2022-01-05,156341.0
699,Africa,2022-01-06,221810.0
700,Africa,2022-01-07,163886.0
701,Africa,2022-01-08,71250.0
702,Africa,2022-01-09,45343.0
703,Africa,2022-01-10,310248.0
704,Africa,2022-01-11,265326.0
705,Africa,2022-01-12,261842.0
706,Africa,2022-01-13,162780.0
707,Africa,2022-01-14,127666.0
708,Africa,2022-01-15,57105.0
709,Africa,2022-01-16,32728.0
710,Africa,2022-01-17,114498.0
711,Africa,2022-01-18,164837.0
712,Africa,2022-01-19,142031.0
713,Africa,2022-01-20,95020.0
714,Africa,2022-01-21,200578.0
715,Africa,2022-01-22,141220.0
716,Africa,2022-01-23,245619.0
717,Africa,2022-01-24,49792.0
718,Africa,2022-01-25,105597.0
719,Africa,2022-01-26,155204.0
720,Africa,2022-01-27,169978.0
721,Africa,2022-01-28,183316.0
722,Africa,2022-01-29,146772.0
723,Africa,2022-01-30,132896.0
